Time (sec),Accel Position (%),Baro Pressure (kPa),Boost (kPa),Coolant Temp (C),Fuel Press Final (kPa),Fuel Press Raw (kPa),Gear Position (Gear),Intake Temp (C),Man Abs Press (kPa),RPM (RPM),Req Torque (Nm),Target Throttle (%),Throttle Pos (%),Vehicle Speed (kph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2020 USDM WRX STI COBB Custom Features][Reflash: Stage1 ACN91 v400 Boost Select.ptm - Realtime: Stage1 ACN91 v400 Boost Select.ptm]
0.000,0.0,99.97,-56.05,87,0.00,0.00,0,56,43.71,770,0.00,0.00,3.9,0,0.00,0
0.014,0.0,99.97,-55.85,87,0.00,0.00,0,56,43.99,766,0.00,0.00,4.3,0,0.00,0
0.129,0.0,99.97,-56.05,87,0.00,0.00,0,56,43.71,772,0.00,0.00,3.9,0,0.00,0
0.163,0.0,99.97,-55.78,87,0.00,0.00,0,56,43.99,764,0.00,0.00,4.3,0,0.00,0
0.232,0.0,99.97,-55.85,87,0.00,0.00,0,56,43.99,770,0.00,0.00,4.3,0,0.00,0
0.311,0.0,99.97,-55.71,87,0.00,0.00,0,56,43.99,771,0.00,0.00,4.3,0,0.00,0
0.396,0.0,99.97,-55.99,87,0.00,0.00,0,56,43.85,773,0.00,0.00,4.3,0,0.00,0
0.463,0.0,99.97,-55.78,87,0.00,0.00,0,56,43.99,765,0.00,0.00,4.3,0,0.00,0
0.551,0.0,99.97,-56.05,87,0.00,0.00,0,56,43.71,770,0.00,0.00,4.3,0,0.00,0
0.604,0.0,99.97,-55.99,87,0.00,0.00,0,56,43.85,775,0.00,0.00,4.3,0,0.00,0
0.693,0.0,99.97,-56.05,87,0.00,0.00,0,56,43.71,778,0.00,0.00,4.3,0,0.00,0
0.770,0.0,99.97,-56.12,87,0.00,0.00,0,56,43.71,778,0.00,0.00,4.3,0,0.00,0
0.834,0.0,99.97,-56.19,87,0.00,0.00,0,56,43.44,782,0.00,0.00,4.3,0,0.00,0
0.918,0.0,99.97,-56.40,87,0.00,0.00,0,56,43.57,776,0.00,0.00,4.3,0,0.00,0
0.994,0.0,99.97,-56.26,87,0.00,0.00,0,56,43.57,776,0.00,0.00,4.3,0,0.00,0
1.060,0.0,99.97,-56.26,87,0.00,0.00,0,56,43.57,781,0.00,0.00,4.3,0,0.00,0
1.138,0.0,99.97,-56.47,87,0.00,0.00,0,56,43.30,782,0.00,0.00,4.3,0,0.00,0
