Time,Accel Position,Boost,Coolant Temp,Gear Position,Intake Temp,Man Abs Press,RPM,Req Torque,Vehicle Speed
0.000,0.0,-56.05,87,0,56,43.71,770,0.00,0
0.014,0.0,-55.85,87,0,56,43.99,766,0.00,0
0.129,0.0,-56.05,87,0,56,43.71,772,0.00,0
0.163,0.0,-55.78,87,0,56,43.99,764,0.00,0
0.232,0.0,-55.85,87,0,56,43.99,770,0.00,0
0.311,0.0,-55.71,87,0,56,43.99,771,0.00,0
0.396,0.0,-55.99,87,0,56,43.85,773,0.00,0
0.463,0.0,-55.78,87,0,56,43.99,765,0.00,0
0.551,0.0,-56.05,87,0,56,43.71,770,0.00,0
0.604,0.0,-55.99,87,0,56,43.85,775,0.00,0
0.693,0.0,-56.05,87,0,56,43.71,778,0.00,0
0.770,0.0,-56.12,87,0,56,43.71,778,0.00,0
0.834,0.0,-56.19,87,0,56,43.44,782,0.00,0
0.918,0.0,-56.40,87,0,56,43.57,776,0.00,0
0.994,0.0,-56.26,87,0,56,43.57,776,0.00,0
1.060,0.0,-56.26,87,0,56,43.57,781,0.00,0
1.138,0.0,-56.47,87,0,56,43.30,782,0.00,0
1.224,0.0,-56.54,87,0,56,43.09,778,0.00,0
1.280,0.0,-56.47,87,0,56,43.30,775,0.00,0
1.368,0.0,-56.47,87,0,56,43.30,770,0.00,0
1.431,0.0,-56.26,87,0,56,43.57,762,0.00,0
1.512,0.0,-56.26,87,0,57,43.57,764,0.00,0
1.590,0.0,-56.05,87,0,57,43.71,764,0.00,0
1.655,0.0,-55.99,87,0,57,43.71,762,0.00,0
1.744,0.0,-55.99,87,0,57,43.85,769,0.00,0
1.811,0.0,-55.99,87,0,57,43.85,776,0.00,0
1.900,0.0,-55.78,87,0,57,43.99,770,0.00,0
1.964,0.0,-56.05,87,0,57,43.71,772,0.00,0
2.031,0.0,-55.78,87,0,57,43.99,771,0.00,0
2.109,0.0,-55.85,87,0,57,43.99,774,0.00,0
2.184,0.0,-55.71,87,0,57,43.99,776,0.00,0
2.274,0.0,-56.05,87,0,57,43.71,774,0.00,0
2.330,0.0,-55.85,87,0,57,43.99,776,0.00,0
